Comunidades autónomas	Tipo de dato	Periodo	Total
01 Andalucía	Dato base	2016M12	6.497
01 Andalucía	Dato base	2016M11	6.620
01 Andalucía	Dato base	2016M10	6.874
01 Andalucía	Dato base	2016M09	7.069
01 Andalucía	Dato base	2016M08	7.061
01 Andalucía	Dato base	2016M07	6.825
01 Andalucía	Dato base	2016M06	6.279
01 Andalucía	Dato base	2016M05	6.249
01 Andalucía	Dato base	2016M04	6.053
01 Andalucía	Dato base	2016M03	6.693
01 Andalucía	Dato base	2016M02	6.303
01 Andalucía	Dato base	2016M01	6.740
02 Aragón	Dato base	2016M12	866
02 Aragón	Dato base	2016M11	876
02 Aragón	Dato base	2016M10	915
02 Aragón	Dato base	2016M09	940
02 Aragón	Dato base	2016M08	995
02 Aragón	Dato base	2016M07	973
02 Aragón	Dato base	2016M06	928
02 Aragón	Dato base	2016M05	898
02 Aragón	Dato base	2016M04	831
02 Aragón	Dato base	2016M03	909
02 Aragón	Dato base	2016M02	881
02 Aragón	Dato base	2016M01	917
03 Asturias, Principado de	Dato base	2016M12	473
03 Asturias, Principado de	Dato base	2016M11	534
03 Asturias, Principado de	Dato base	2016M10	559
03 Asturias, Principado de	Dato base	2016M09	523
03 Asturias, Principado de	Dato base	2016M08	529
03 Asturias, Principado de	Dato base	2016M07	557
03 Asturias, Principado de	Dato base	2016M06	545
03 Asturias, Principado de	Dato base	2016M05	569
03 Asturias, Principado de	Dato base	2016M04	534
03 Asturias, Principado de	Dato base	2016M03	512
03 Asturias, Principado de	Dato base	2016M02	470
03 Asturias, Principado de	Dato base	2016M01	542
04 Balears, Illes	Dato base	2016M12	865
04 Balears, Illes	Dato base	2016M11	880
04 Balears, Illes	Dato base	2016M10	910
04 Balears, Illes	Dato base	2016M09	995
04 Balears, Illes	Dato base	2016M08	981
04 Balears, Illes	Dato base	2016M07	907
04 Balears, Illes	Dato base	2016M06	889
04 Balears, Illes	Dato base	2016M05	799
04 Balears, Illes	Dato base	2016M04	798
04 Balears, Illes	Dato base	2016M03	860
04 Balears, Illes	Dato base	2016M02	821
04 Balears, Illes	Dato base	2016M01	911
05 Canarias	Dato base	2016M12	1.423
05 Canarias	Dato base	2016M11	1.366
05 Canarias	Dato base	2016M10	1.435
05 Canarias	Dato base	2016M09	1.438
05 Canarias	Dato base	2016M08	1.453
05 Canarias	Dato base	2016M07	1.351
05 Canarias	Dato base	2016M06	1.210
05 Canarias	Dato base	2016M05	1.309
05 Canarias	Dato base	2016M04	1.205
05 Canarias	Dato base	2016M03	1.355
05 Canarias	Dato base	2016M02	1.298
05 Canarias	Dato base	2016M01	1.316
06 Cantabria	Dato base	2016M12	319
06 Cantabria	Dato base	2016M11	328
06 Cantabria	Dato base	2016M10	346
06 Cantabria	Dato base	2016M09	374
06 Cantabria	Dato base	2016M08	359
06 Cantabria	Dato base	2016M07	387
06 Cantabria	Dato base	2016M06	362
06 Cantabria	Dato base	2016M05	380
06 Cantabria	Dato base	2016M04	341
06 Cantabria	Dato base	2016M03	364
06 Cantabria	Dato base	2016M02	321
06 Cantabria	Dato base	2016M01	363
08 Castilla - La Mancha	Dato base	2016M12	1.424
08 Castilla - La Mancha	Dato base	2016M11	1.436
08 Castilla - La Mancha	Dato base	2016M10	1.517
08 Castilla - La Mancha	Dato base	2016M09	1.546
08 Castilla - La Mancha	Dato base	2016M08	1.578
08 Castilla - La Mancha	Dato base	2016M07	1.579
08 Castilla - La Mancha	Dato base	2016M06	1.550
08 Castilla - La Mancha	Dato base	2016M05	1.360
08 Castilla - La Mancha	Dato base	2016M04	1.362
08 Castilla - La Mancha	Dato base	2016M03	1.503
08 Castilla - La Mancha	Dato base	2016M02	1.405
08 Castilla - La Mancha	Dato base	2016M01	1.532
07 Castilla y León	Dato base	2016M12	1.214
07 Castilla y León	Dato base	2016M11	1.358
07 Castilla y León	Dato base	2016M10	1.435
07 Castilla y León	Dato base	2016M09	1.475
07 Castilla y León	Dato base	2016M08	1.477
07 Castilla y León	Dato base	2016M07	1.476
07 Castilla y León	Dato base	2016M06	1.419
07 Castilla y León	Dato base	2016M05	1.424
07 Castilla y León	Dato base	2016M04	1.400
07 Castilla y León	Dato base	2016M03	1.402
07 Castilla y León	Dato base	2016M02	1.206
07 Castilla y León	Dato base	2016M01	1.389
09 Cataluña	Dato base	2016M12	5.580
09 Cataluña	Dato base	2016M11	5.521
09 Cataluña	Dato base	2016M10	5.865
09 Cataluña	Dato base	2016M09	6.028
09 Cataluña	Dato base	2016M08	6.068
09 Cataluña	Dato base	2016M07	5.967
09 Cataluña	Dato base	2016M06	5.953
09 Cataluña	Dato base	2016M05	5.666
09 Cataluña	Dato base	2016M04	5.153
09 Cataluña	Dato base	2016M03	5.686
09 Cataluña	Dato base	2016M02	5.477
09 Cataluña	Dato base	2016M01	5.944
10 Comunitat Valenciana	Dato base	2016M12	3.471
10 Comunitat Valenciana	Dato base	2016M11	3.475
10 Comunitat Valenciana	Dato base	2016M10	3.717
10 Comunitat Valenciana	Dato base	2016M09	3.829
10 Comunitat Valenciana	Dato base	2016M08	3.841
10 Comunitat Valenciana	Dato base	2016M07	3.657
10 Comunitat Valenciana	Dato base	2016M06	3.363
10 Comunitat Valenciana	Dato base	2016M05	3.234
10 Comunitat Valenciana	Dato base	2016M04	3.127
10 Comunitat Valenciana	Dato base	2016M03	3.506
10 Comunitat Valenciana	Dato base	2016M02	3.283
10 Comunitat Valenciana	Dato base	2016M01	3.494
11 Extremadura	Dato base	2016M12	694
11 Extremadura	Dato base	2016M11	659
11 Extremadura	Dato base	2016M10	791
11 Extremadura	Dato base	2016M09	751
11 Extremadura	Dato base	2016M08	771
11 Extremadura	Dato base	2016M07	751
11 Extremadura	Dato base	2016M06	785
11 Extremadura	Dato base	2016M05	755
11 Extremadura	Dato base	2016M04	699
11 Extremadura	Dato base	2016M03	709
11 Extremadura	Dato base	2016M02	668
11 Extremadura	Dato base	2016M01	750
12 Galicia	Dato base	2016M12	1.528
12 Galicia	Dato base	2016M11	1.562
12 Galicia	Dato base	2016M10	1.619
12 Galicia	Dato base	2016M09	1.618
12 Galicia	Dato base	2016M08	1.631
12 Galicia	Dato base	2016M07	1.683
12 Galicia	Dato base	2016M06	1.566
12 Galicia	Dato base	2016M05	1.617
12 Galicia	Dato base	2016M04	1.577
12 Galicia	Dato base	2016M03	1.597
12 Galicia	Dato base	2016M02	1.480
12 Galicia	Dato base	2016M01	1.584
13 Madrid, Comunidad de	Dato base	2016M12	4.969
13 Madrid, Comunidad de	Dato base	2016M11	4.995
13 Madrid, Comunidad de	Dato base	2016M10	5.469
13 Madrid, Comunidad de	Dato base	2016M09	5.446
13 Madrid, Comunidad de	Dato base	2016M08	5.401
13 Madrid, Comunidad de	Dato base	2016M07	5.561
13 Madrid, Comunidad de	Dato base	2016M06	5.395
13 Madrid, Comunidad de	Dato base	2016M05	5.412
13 Madrid, Comunidad de	Dato base	2016M04	5.215
13 Madrid, Comunidad de	Dato base	2016M03	5.316
13 Madrid, Comunidad de	Dato base	2016M02	4.846
13 Madrid, Comunidad de	Dato base	2016M01	5.087
14 Murcia, Región de	Dato base	2016M12	1.348
14 Murcia, Región de	Dato base	2016M11	1.346
14 Murcia, Región de	Dato base	2016M10	1.474
14 Murcia, Región de	Dato base	2016M09	1.446
14 Murcia, Región de	Dato base	2016M08	1.367
14 Murcia, Región de	Dato base	2016M07	1.343
14 Murcia, Región de	Dato base	2016M06	1.225
14 Murcia, Región de	Dato base	2016M05	1.138
14 Murcia, Región de	Dato base	2016M04	1.066
14 Murcia, Región de	Dato base	2016M03	1.240
14 Murcia, Región de	Dato base	2016M02	1.195
14 Murcia, Región de	Dato base	2016M01	1.340
15 Navarra, Comunidad Foral de	Dato base	2016M12	449
15 Navarra, Comunidad Foral de	Dato base	2016M11	458
15 Navarra, Comunidad Foral de	Dato base	2016M10	524
15 Navarra, Comunidad Foral de	Dato base	2016M09	487
15 Navarra, Comunidad Foral de	Dato base	2016M08	484
15 Navarra, Comunidad Foral de	Dato base	2016M07	544
15 Navarra, Comunidad Foral de	Dato base	2016M06	559
15 Navarra, Comunidad Foral de	Dato base	2016M05	501
15 Navarra, Comunidad Foral de	Dato base	2016M04	442
15 Navarra, Comunidad Foral de	Dato base	2016M03	486
15 Navarra, Comunidad Foral de	Dato base	2016M02	494
15 Navarra, Comunidad Foral de	Dato base	2016M01	466
16 País Vasco	Dato base	2016M12	1.395
16 País Vasco	Dato base	2016M11	1.379
16 País Vasco	Dato base	2016M10	1.615
16 País Vasco	Dato base	2016M09	1.568
16 País Vasco	Dato base	2016M08	1.589
16 País Vasco	Dato base	2016M07	1.618
16 País Vasco	Dato base	2016M06	1.578
16 País Vasco	Dato base	2016M05	1.524
16 País Vasco	Dato base	2016M04	1.422
16 País Vasco	Dato base	2016M03	1.609
16 País Vasco	Dato base	2016M02	1.424
16 País Vasco	Dato base	2016M01	1.526
17 Rioja, La	Dato base	2016M12	214
17 Rioja, La	Dato base	2016M11	181
17 Rioja, La	Dato base	2016M10	241
17 Rioja, La	Dato base	2016M09	241
17 Rioja, La	Dato base	2016M08	211
17 Rioja, La	Dato base	2016M07	244
17 Rioja, La	Dato base	2016M06	213
17 Rioja, La	Dato base	2016M05	260
17 Rioja, La	Dato base	2016M04	199
17 Rioja, La	Dato base	2016M03	211
17 Rioja, La	Dato base	2016M02	224
17 Rioja, La	Dato base	2016M01	223
18 Ceuta	Dato base	2016M12	98
18 Ceuta	Dato base	2016M11	82
18 Ceuta	Dato base	2016M10	90
18 Ceuta	Dato base	2016M09	93
18 Ceuta	Dato base	2016M08	105
18 Ceuta	Dato base	2016M07	98
18 Ceuta	Dato base	2016M06	89
18 Ceuta	Dato base	2016M05	78
18 Ceuta	Dato base	2016M04	84
18 Ceuta	Dato base	2016M03	89
18 Ceuta	Dato base	2016M02	67
18 Ceuta	Dato base	2016M01	87
19 Melilla	Dato base	2016M12	116
19 Melilla	Dato base	2016M11	125
19 Melilla	Dato base	2016M10	137
19 Melilla	Dato base	2016M09	129
19 Melilla	Dato base	2016M08	140
19 Melilla	Dato base	2016M07	132
19 Melilla	Dato base	2016M06	146
19 Melilla	Dato base	2016M05	115
19 Melilla	Dato base	2016M04	105
19 Melilla	Dato base	2016M03	93
19 Melilla	Dato base	2016M02	96
19 Melilla	Dato base	2016M01	122
