Comunidades autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Dato base;2019M12;5.750
01 Andalucía;Dato base;2019M11;5.769
01 Andalucía;Dato base;2019M10;6.357
01 Andalucía;Dato base;2019M09;5.983
01 Andalucía;Dato base;2019M08;6.154
01 Andalucía;Dato base;2019M07;5.719
01 Andalucía;Dato base;2019M06;5.176
01 Andalucía;Dato base;2019M05;5.703
01 Andalucía;Dato base;2019M04;5.663
01 Andalucía;Dato base;2019M03;5.780
01 Andalucía;Dato base;2019M02;5.284
01 Andalucía;Dato base;2019M01;6.059
02 Aragón;Dato base;2019M12;768
02 Aragón;Dato base;2019M11;788
02 Aragón;Dato base;2019M10;851
02 Aragón;Dato base;2019M09;843
02 Aragón;Dato base;2019M08;839
02 Aragón;Dato base;2019M07;877
02 Aragón;Dato base;2019M06;827
02 Aragón;Dato base;2019M05;812
02 Aragón;Dato base;2019M04;762
02 Aragón;Dato base;2019M03;760
02 Aragón;Dato base;2019M02;677
02 Aragón;Dato base;2019M01;840
03 Asturias, Principado de;Dato base;2019M12;420
03 Asturias, Principado de;Dato base;2019M11;471
03 Asturias, Principado de;Dato base;2019M10;429
03 Asturias, Principado de;Dato base;2019M09;406
03 Asturias, Principado de;Dato base;2019M08;445
03 Asturias, Principado de;Dato base;2019M07;459
03 Asturias, Principado de;Dato base;2019M06;427
03 Asturias, Principado de;Dato base;2019M05;456
03 Asturias, Principado de;Dato base;2019M04;422
03 Asturias, Principado de;Dato base;2019M03;394
03 Asturias, Principado de;Dato base;2019M02;390
03 Asturias, Principado de;Dato base;2019M01;433
04 Balears, Illes;Dato base;2019M12;850
04 Balears, Illes;Dato base;2019M11;786
04 Balears, Illes;Dato base;2019M10;882
04 Balears, Illes;Dato base;2019M09;870
04 Balears, Illes;Dato base;2019M08;846
04 Balears, Illes;Dato base;2019M07;886
04 Balears, Illes;Dato base;2019M06;765
04 Balears, Illes;Dato base;2019M05;744
04 Balears, Illes;Dato base;2019M04;762
04 Balears, Illes;Dato base;2019M03;777
04 Balears, Illes;Dato base;2019M02;718
04 Balears, Illes;Dato base;2019M01;795
05 Canarias;Dato base;2019M12;1.236
05 Canarias;Dato base;2019M11;1.224
05 Canarias;Dato base;2019M10;1.285
05 Canarias;Dato base;2019M09;1.234
05 Canarias;Dato base;2019M08;1.225
05 Canarias;Dato base;2019M07;1.201
05 Canarias;Dato base;2019M06;1.059
05 Canarias;Dato base;2019M05;1.144
05 Canarias;Dato base;2019M04;1.119
05 Canarias;Dato base;2019M03;1.142
05 Canarias;Dato base;2019M02;1.097
05 Canarias;Dato base;2019M01;1.171
06 Cantabria;Dato base;2019M12;251
06 Cantabria;Dato base;2019M11;301
06 Cantabria;Dato base;2019M10;319
06 Cantabria;Dato base;2019M09;309
06 Cantabria;Dato base;2019M08;332
06 Cantabria;Dato base;2019M07;315
06 Cantabria;Dato base;2019M06;271
06 Cantabria;Dato base;2019M05;278
06 Cantabria;Dato base;2019M04;248
06 Cantabria;Dato base;2019M03;310
06 Cantabria;Dato base;2019M02;273
06 Cantabria;Dato base;2019M01;340
08 Castilla - La Mancha;Dato base;2019M12;1.213
08 Castilla - La Mancha;Dato base;2019M11;1.189
08 Castilla - La Mancha;Dato base;2019M10;1.308
08 Castilla - La Mancha;Dato base;2019M09;1.318
08 Castilla - La Mancha;Dato base;2019M08;1.382
08 Castilla - La Mancha;Dato base;2019M07;1.396
08 Castilla - La Mancha;Dato base;2019M06;1.294
08 Castilla - La Mancha;Dato base;2019M05;1.312
08 Castilla - La Mancha;Dato base;2019M04;1.225
08 Castilla - La Mancha;Dato base;2019M03;1.304
08 Castilla - La Mancha;Dato base;2019M02;1.153
08 Castilla - La Mancha;Dato base;2019M01;1.222
07 Castilla y León;Dato base;2019M12;1.149
07 Castilla y León;Dato base;2019M11;1.160
07 Castilla y León;Dato base;2019M10;1.181
07 Castilla y León;Dato base;2019M09;1.185
07 Castilla y León;Dato base;2019M08;1.243
07 Castilla y León;Dato base;2019M07;1.294
07 Castilla y León;Dato base;2019M06;1.208
07 Castilla y León;Dato base;2019M05;1.252
07 Castilla y León;Dato base;2019M04;1.188
07 Castilla y León;Dato base;2019M03;1.190
07 Castilla y León;Dato base;2019M02;1.078
07 Castilla y León;Dato base;2019M01;1.195
09 Cataluña;Dato base;2019M12;5.004
09 Cataluña;Dato base;2019M11;4.970
09 Cataluña;Dato base;2019M10;5.406
09 Cataluña;Dato base;2019M09;5.420
09 Cataluña;Dato base;2019M08;5.192
09 Cataluña;Dato base;2019M07;5.457
09 Cataluña;Dato base;2019M06;4.954
09 Cataluña;Dato base;2019M05;5.068
09 Cataluña;Dato base;2019M04;4.925
09 Cataluña;Dato base;2019M03;5.012
09 Cataluña;Dato base;2019M02;4.741
09 Cataluña;Dato base;2019M01;5.399
10 Comunitat Valenciana;Dato base;2019M12;3.131
10 Comunitat Valenciana;Dato base;2019M11;3.101
10 Comunitat Valenciana;Dato base;2019M10;3.475
10 Comunitat Valenciana;Dato base;2019M09;3.378
10 Comunitat Valenciana;Dato base;2019M08;3.276
10 Comunitat Valenciana;Dato base;2019M07;3.222
10 Comunitat Valenciana;Dato base;2019M06;2.790
10 Comunitat Valenciana;Dato base;2019M05;2.957
10 Comunitat Valenciana;Dato base;2019M04;2.848
10 Comunitat Valenciana;Dato base;2019M03;2.947
10 Comunitat Valenciana;Dato base;2019M02;2.901
10 Comunitat Valenciana;Dato base;2019M01;3.298
11 Extremadura;Dato base;2019M12;629
11 Extremadura;Dato base;2019M11;629
11 Extremadura;Dato base;2019M10;709
11 Extremadura;Dato base;2019M09;638
11 Extremadura;Dato base;2019M08;655
11 Extremadura;Dato base;2019M07;655
11 Extremadura;Dato base;2019M06;573
11 Extremadura;Dato base;2019M05;676
11 Extremadura;Dato base;2019M04;605
11 Extremadura;Dato base;2019M03;583
11 Extremadura;Dato base;2019M02;598
11 Extremadura;Dato base;2019M01;700
12 Galicia;Dato base;2019M12;1.219
12 Galicia;Dato base;2019M11;1.282
12 Galicia;Dato base;2019M10;1.353
12 Galicia;Dato base;2019M09;1.366
12 Galicia;Dato base;2019M08;1.352
12 Galicia;Dato base;2019M07;1.407
12 Galicia;Dato base;2019M06;1.330
12 Galicia;Dato base;2019M05;1.331
12 Galicia;Dato base;2019M04;1.211
12 Galicia;Dato base;2019M03;1.314
12 Galicia;Dato base;2019M02;1.220
12 Galicia;Dato base;2019M01;1.333
13 Madrid, Comunidad de;Dato base;2019M12;4.332
13 Madrid, Comunidad de;Dato base;2019M11;4.556
13 Madrid, Comunidad de;Dato base;2019M10;4.826
13 Madrid, Comunidad de;Dato base;2019M09;4.699
13 Madrid, Comunidad de;Dato base;2019M08;4.744
13 Madrid, Comunidad de;Dato base;2019M07;4.958
13 Madrid, Comunidad de;Dato base;2019M06;4.631
13 Madrid, Comunidad de;Dato base;2019M05;4.786
13 Madrid, Comunidad de;Dato base;2019M04;4.699
13 Madrid, Comunidad de;Dato base;2019M03;4.560
13 Madrid, Comunidad de;Dato base;2019M02;4.245
13 Madrid, Comunidad de;Dato base;2019M01;4.705
14 Murcia, Región de;Dato base;2019M12;1.202
14 Murcia, Región de;Dato base;2019M11;1.279
14 Murcia, Región de;Dato base;2019M10;1.311
14 Murcia, Región de;Dato base;2019M09;1.255
14 Murcia, Región de;Dato base;2019M08;1.220
14 Murcia, Región de;Dato base;2019M07;1.231
14 Murcia, Región de;Dato base;2019M06;1.077
14 Murcia, Región de;Dato base;2019M05;1.064
14 Murcia, Región de;Dato base;2019M04;1.129
14 Murcia, Región de;Dato base;2019M03;1.174
14 Murcia, Región de;Dato base;2019M02;1.108
14 Murcia, Región de;Dato base;2019M01;1.214
15 Navarra, Comunidad Foral de;Dato base;2019M12;450
15 Navarra, Comunidad Foral de;Dato base;2019M11;426
15 Navarra, Comunidad Foral de;Dato base;2019M10;453
15 Navarra, Comunidad Foral de;Dato base;2019M09;445
15 Navarra, Comunidad Foral de;Dato base;2019M08;456
15 Navarra, Comunidad Foral de;Dato base;2019M07;469
15 Navarra, Comunidad Foral de;Dato base;2019M06;469
15 Navarra, Comunidad Foral de;Dato base;2019M05;492
15 Navarra, Comunidad Foral de;Dato base;2019M04;418
15 Navarra, Comunidad Foral de;Dato base;2019M03;466
15 Navarra, Comunidad Foral de;Dato base;2019M02;391
15 Navarra, Comunidad Foral de;Dato base;2019M01;436
16 País Vasco;Dato base;2019M12;1.223
16 País Vasco;Dato base;2019M11;1.293
16 País Vasco;Dato base;2019M10;1.335
16 País Vasco;Dato base;2019M09;1.345
16 País Vasco;Dato base;2019M08;1.378
16 País Vasco;Dato base;2019M07;1.404
16 País Vasco;Dato base;2019M06;1.238
16 País Vasco;Dato base;2019M05;1.302
16 País Vasco;Dato base;2019M04;1.201
16 País Vasco;Dato base;2019M03;1.264
16 País Vasco;Dato base;2019M02;1.144
16 País Vasco;Dato base;2019M01;1.322
17 Rioja, La;Dato base;2019M12;184
17 Rioja, La;Dato base;2019M11;203
17 Rioja, La;Dato base;2019M10;226
17 Rioja, La;Dato base;2019M09;194
17 Rioja, La;Dato base;2019M08;212
17 Rioja, La;Dato base;2019M07;198
17 Rioja, La;Dato base;2019M06;234
17 Rioja, La;Dato base;2019M05;197
17 Rioja, La;Dato base;2019M04;178
17 Rioja, La;Dato base;2019M03;193
17 Rioja, La;Dato base;2019M02;177
17 Rioja, La;Dato base;2019M01;212
18 Ceuta;Dato base;2019M12;82
18 Ceuta;Dato base;2019M11;78
18 Ceuta;Dato base;2019M10;87
18 Ceuta;Dato base;2019M09;76
18 Ceuta;Dato base;2019M08;61
18 Ceuta;Dato base;2019M07;69
18 Ceuta;Dato base;2019M06;54
18 Ceuta;Dato base;2019M05;52
18 Ceuta;Dato base;2019M04;76
18 Ceuta;Dato base;2019M03;71
18 Ceuta;Dato base;2019M02;51
18 Ceuta;Dato base;2019M01;84
19 Melilla;Dato base;2019M12;100
19 Melilla;Dato base;2019M11;105
19 Melilla;Dato base;2019M10;103
19 Melilla;Dato base;2019M09;119
19 Melilla;Dato base;2019M08;122
19 Melilla;Dato base;2019M07;112
19 Melilla;Dato base;2019M06;98
19 Melilla;Dato base;2019M05;106
19 Melilla;Dato base;2019M04;101
19 Melilla;Dato base;2019M03;92
19 Melilla;Dato base;2019M02;78
19 Melilla;Dato base;2019M01;100
