Comunidades autónomas	Tipo de dato	Periodo	Total
01 Andalucía	Dato base	2020M12	4.528
01 Andalucía	Dato base	2020M11	5.152
01 Andalucía	Dato base	2020M10	5.816
01 Andalucía	Dato base	2020M09	5.688
01 Andalucía	Dato base	2020M08	5.565
01 Andalucía	Dato base	2020M07	5.699
01 Andalucía	Dato base	2020M06	5.437
01 Andalucía	Dato base	2020M05	5.388
01 Andalucía	Dato base	2020M04	5.288
01 Andalucía	Dato base	2020M03	5.585
01 Andalucía	Dato base	2020M02	5.119
01 Andalucía	Dato base	2020M01	5.641
02 Aragón	Dato base	2020M12	640
02 Aragón	Dato base	2020M11	737
02 Aragón	Dato base	2020M10	813
02 Aragón	Dato base	2020M09	714
02 Aragón	Dato base	2020M08	782
02 Aragón	Dato base	2020M07	759
02 Aragón	Dato base	2020M06	747
02 Aragón	Dato base	2020M05	781
02 Aragón	Dato base	2020M04	722
02 Aragón	Dato base	2020M03	798
02 Aragón	Dato base	2020M02	724
02 Aragón	Dato base	2020M01	825
03 Asturias, Principado de	Dato base	2020M12	333
03 Asturias, Principado de	Dato base	2020M11	400
03 Asturias, Principado de	Dato base	2020M10	398
03 Asturias, Principado de	Dato base	2020M09	383
03 Asturias, Principado de	Dato base	2020M08	440
03 Asturias, Principado de	Dato base	2020M07	420
03 Asturias, Principado de	Dato base	2020M06	380
03 Asturias, Principado de	Dato base	2020M05	383
03 Asturias, Principado de	Dato base	2020M04	403
03 Asturias, Principado de	Dato base	2020M03	401
03 Asturias, Principado de	Dato base	2020M02	390
03 Asturias, Principado de	Dato base	2020M01	442
04 Balears, Illes	Dato base	2020M12	655
04 Balears, Illes	Dato base	2020M11	718
04 Balears, Illes	Dato base	2020M10	874
04 Balears, Illes	Dato base	2020M09	890
04 Balears, Illes	Dato base	2020M08	820
04 Balears, Illes	Dato base	2020M07	818
04 Balears, Illes	Dato base	2020M06	778
04 Balears, Illes	Dato base	2020M05	754
04 Balears, Illes	Dato base	2020M04	691
04 Balears, Illes	Dato base	2020M03	759
04 Balears, Illes	Dato base	2020M02	737
04 Balears, Illes	Dato base	2020M01	883
05 Canarias	Dato base	2020M12	950
05 Canarias	Dato base	2020M11	1.053
05 Canarias	Dato base	2020M10	1.186
05 Canarias	Dato base	2020M09	1.198
05 Canarias	Dato base	2020M08	1.159
05 Canarias	Dato base	2020M07	1.061
05 Canarias	Dato base	2020M06	1.046
05 Canarias	Dato base	2020M05	1.043
05 Canarias	Dato base	2020M04	1.087
05 Canarias	Dato base	2020M03	1.121
05 Canarias	Dato base	2020M02	1.051
05 Canarias	Dato base	2020M01	1.187
06 Cantabria	Dato base	2020M12	231
06 Cantabria	Dato base	2020M11	265
06 Cantabria	Dato base	2020M10	355
06 Cantabria	Dato base	2020M09	305
06 Cantabria	Dato base	2020M08	309
06 Cantabria	Dato base	2020M07	305
06 Cantabria	Dato base	2020M06	265
06 Cantabria	Dato base	2020M05	272
06 Cantabria	Dato base	2020M04	273
06 Cantabria	Dato base	2020M03	257
06 Cantabria	Dato base	2020M02	237
06 Cantabria	Dato base	2020M01	312
08 Castilla - La Mancha	Dato base	2020M12	928
08 Castilla - La Mancha	Dato base	2020M11	1.144
08 Castilla - La Mancha	Dato base	2020M10	1.338
08 Castilla - La Mancha	Dato base	2020M09	1.284
08 Castilla - La Mancha	Dato base	2020M08	1.287
08 Castilla - La Mancha	Dato base	2020M07	1.328
08 Castilla - La Mancha	Dato base	2020M06	1.249
08 Castilla - La Mancha	Dato base	2020M05	1.249
08 Castilla - La Mancha	Dato base	2020M04	1.150
08 Castilla - La Mancha	Dato base	2020M03	1.237
08 Castilla - La Mancha	Dato base	2020M02	1.151
08 Castilla - La Mancha	Dato base	2020M01	1.219
07 Castilla y León	Dato base	2020M12	915
07 Castilla y León	Dato base	2020M11	1.051
07 Castilla y León	Dato base	2020M10	1.154
07 Castilla y León	Dato base	2020M09	1.235
07 Castilla y León	Dato base	2020M08	1.144
07 Castilla y León	Dato base	2020M07	1.273
07 Castilla y León	Dato base	2020M06	1.149
07 Castilla y León	Dato base	2020M05	1.189
07 Castilla y León	Dato base	2020M04	1.099
07 Castilla y León	Dato base	2020M03	1.179
07 Castilla y León	Dato base	2020M02	1.074
07 Castilla y León	Dato base	2020M01	1.172
09 Cataluña	Dato base	2020M12	3.980
09 Cataluña	Dato base	2020M11	4.570
09 Cataluña	Dato base	2020M10	5.003
09 Cataluña	Dato base	2020M09	5.155
09 Cataluña	Dato base	2020M08	4.952
09 Cataluña	Dato base	2020M07	5.001
09 Cataluña	Dato base	2020M06	4.845
09 Cataluña	Dato base	2020M05	4.925
09 Cataluña	Dato base	2020M04	4.487
09 Cataluña	Dato base	2020M03	5.052
09 Cataluña	Dato base	2020M02	4.692
09 Cataluña	Dato base	2020M01	5.364
10 Comunitat Valenciana	Dato base	2020M12	2.411
10 Comunitat Valenciana	Dato base	2020M11	2.742
10 Comunitat Valenciana	Dato base	2020M10	3.242
10 Comunitat Valenciana	Dato base	2020M09	3.235
10 Comunitat Valenciana	Dato base	2020M08	3.123
10 Comunitat Valenciana	Dato base	2020M07	3.138
10 Comunitat Valenciana	Dato base	2020M06	2.919
10 Comunitat Valenciana	Dato base	2020M05	2.823
10 Comunitat Valenciana	Dato base	2020M04	2.760
10 Comunitat Valenciana	Dato base	2020M03	3.025
10 Comunitat Valenciana	Dato base	2020M02	2.834
10 Comunitat Valenciana	Dato base	2020M01	3.333
11 Extremadura	Dato base	2020M12	521
11 Extremadura	Dato base	2020M11	600
11 Extremadura	Dato base	2020M10	614
11 Extremadura	Dato base	2020M09	666
11 Extremadura	Dato base	2020M08	654
11 Extremadura	Dato base	2020M07	659
11 Extremadura	Dato base	2020M06	626
11 Extremadura	Dato base	2020M05	581
11 Extremadura	Dato base	2020M04	648
11 Extremadura	Dato base	2020M03	608
11 Extremadura	Dato base	2020M02	557
11 Extremadura	Dato base	2020M01	618
12 Galicia	Dato base	2020M12	1.049
12 Galicia	Dato base	2020M11	1.240
12 Galicia	Dato base	2020M10	1.347
12 Galicia	Dato base	2020M09	1.361
12 Galicia	Dato base	2020M08	1.270
12 Galicia	Dato base	2020M07	1.374
12 Galicia	Dato base	2020M06	1.253
12 Galicia	Dato base	2020M05	1.262
12 Galicia	Dato base	2020M04	1.218
12 Galicia	Dato base	2020M03	1.332
12 Galicia	Dato base	2020M02	1.212
12 Galicia	Dato base	2020M01	1.294
13 Madrid, Comunidad de	Dato base	2020M12	3.210
13 Madrid, Comunidad de	Dato base	2020M11	3.891
13 Madrid, Comunidad de	Dato base	2020M10	4.567
13 Madrid, Comunidad de	Dato base	2020M09	4.647
13 Madrid, Comunidad de	Dato base	2020M08	4.579
13 Madrid, Comunidad de	Dato base	2020M07	4.655
13 Madrid, Comunidad de	Dato base	2020M06	4.519
13 Madrid, Comunidad de	Dato base	2020M05	4.666
13 Madrid, Comunidad de	Dato base	2020M04	4.284
13 Madrid, Comunidad de	Dato base	2020M03	4.350
13 Madrid, Comunidad de	Dato base	2020M02	3.968
13 Madrid, Comunidad de	Dato base	2020M01	4.551
14 Murcia, Región de	Dato base	2020M12	935
14 Murcia, Región de	Dato base	2020M11	1.041
14 Murcia, Región de	Dato base	2020M10	1.260
14 Murcia, Región de	Dato base	2020M09	1.243
14 Murcia, Región de	Dato base	2020M08	1.212
14 Murcia, Región de	Dato base	2020M07	1.248
14 Murcia, Región de	Dato base	2020M06	1.066
14 Murcia, Región de	Dato base	2020M05	1.036
14 Murcia, Región de	Dato base	2020M04	1.097
14 Murcia, Región de	Dato base	2020M03	1.236
14 Murcia, Región de	Dato base	2020M02	1.054
14 Murcia, Región de	Dato base	2020M01	1.241
15 Navarra, Comunidad Foral de	Dato base	2020M12	375
15 Navarra, Comunidad Foral de	Dato base	2020M11	387
15 Navarra, Comunidad Foral de	Dato base	2020M10	432
15 Navarra, Comunidad Foral de	Dato base	2020M09	453
15 Navarra, Comunidad Foral de	Dato base	2020M08	452
15 Navarra, Comunidad Foral de	Dato base	2020M07	437
15 Navarra, Comunidad Foral de	Dato base	2020M06	406
15 Navarra, Comunidad Foral de	Dato base	2020M05	431
15 Navarra, Comunidad Foral de	Dato base	2020M04	398
15 Navarra, Comunidad Foral de	Dato base	2020M03	409
15 Navarra, Comunidad Foral de	Dato base	2020M02	426
15 Navarra, Comunidad Foral de	Dato base	2020M01	434
16 País Vasco	Dato base	2020M12	1.034
16 País Vasco	Dato base	2020M11	1.153
16 País Vasco	Dato base	2020M10	1.259
16 País Vasco	Dato base	2020M09	1.287
16 País Vasco	Dato base	2020M08	1.321
16 País Vasco	Dato base	2020M07	1.299
16 País Vasco	Dato base	2020M06	1.226
16 País Vasco	Dato base	2020M05	1.210
16 País Vasco	Dato base	2020M04	1.186
16 País Vasco	Dato base	2020M03	1.294
16 País Vasco	Dato base	2020M02	1.225
16 País Vasco	Dato base	2020M01	1.253
17 Rioja, La	Dato base	2020M12	163
17 Rioja, La	Dato base	2020M11	184
17 Rioja, La	Dato base	2020M10	205
17 Rioja, La	Dato base	2020M09	202
17 Rioja, La	Dato base	2020M08	213
17 Rioja, La	Dato base	2020M07	209
17 Rioja, La	Dato base	2020M06	203
17 Rioja, La	Dato base	2020M05	197
17 Rioja, La	Dato base	2020M04	148
17 Rioja, La	Dato base	2020M03	229
17 Rioja, La	Dato base	2020M02	174
17 Rioja, La	Dato base	2020M01	190
18 Ceuta	Dato base	2020M12	47
18 Ceuta	Dato base	2020M11	63
18 Ceuta	Dato base	2020M10	68
18 Ceuta	Dato base	2020M09	78
18 Ceuta	Dato base	2020M08	84
18 Ceuta	Dato base	2020M07	80
18 Ceuta	Dato base	2020M06	64
18 Ceuta	Dato base	2020M05	61
18 Ceuta	Dato base	2020M04	70
18 Ceuta	Dato base	2020M03	61
18 Ceuta	Dato base	2020M02	73
18 Ceuta	Dato base	2020M01	88
19 Melilla	Dato base	2020M12	75
19 Melilla	Dato base	2020M11	79
19 Melilla	Dato base	2020M10	86
19 Melilla	Dato base	2020M09	83
19 Melilla	Dato base	2020M08	83
19 Melilla	Dato base	2020M07	85
19 Melilla	Dato base	2020M06	65
19 Melilla	Dato base	2020M05	66
19 Melilla	Dato base	2020M04	69
19 Melilla	Dato base	2020M03	61
19 Melilla	Dato base	2020M02	73
19 Melilla	Dato base	2020M01	114
